employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate,termreason
00-95822412,Danielle,Johnson,Male,New York,Buffalo,4/16/2016,Operations,Logistics Coordinator,Bachelor,74343,Good,No,8/30/1972,10/5/2023,Voluntary
00-42868828,John,Taylor,Female,North Carolina,Charlotte,2/9/2017,HR,Recruiter,High School,75761,Good,Yes,2/8/1994,10/2/2021,Voluntary
00-83197857,Erica,Mcclain,Male,Virginia,Richmond,2/3/2016,Sales,Sales Consultant,Bachelor,101101,Satisfactory,No,11/6/1997,3/1/2020,Involuntary
00-13999315,Brittany,Johnson,Male,New York,Buffalo,2/6/2016,Operations,Inventory Specialist,High School,60217,Good,No,3/6/1979,7/17/2020,Involuntary
00-90801586,Jeffery,Wagner,Female,New York,New York City,1/11/2015,Operations,Logistics Coordinator,Bachelor,56075,Good,No,2/29/1984,1/8/2024,Voluntary
00-97226012,Anna,Baldwin,Female,New York,New York City,9/30/2022,IT,Software Developer,Bachelor,70113,Satisfactory,No,8/16/1983,3/29/2023,Voluntary
00-70291817,Amy,Robinson,Female,Florida,Tampa,8/17/2021,Marketing,SEO Specialist,Bachelor,74175,Good,No,12/19/1984,4/7/2022,Involuntary
00-31429110,Joshua,Booth,Male,New York,Buffalo,10/22/2022,Sales,Sales Specialist,Master,85719,Needs Improvement,No,11/25/1971,4/20/2023,Involuntary
00-30868105,Linda,Wolfe,Male,New York,New York City,5/13/2017,IT,IT Manager,Master,98204,Good,No,1/16/1986,5/7/2020,Involuntary
00-22448136,Joshua,Lewis,Male,New York,New York City,10/24/2018,Operations,Logistics Coordinator,Bachelor,73368,Good,No,2/4/1989,6/7/2020,Involuntary
00-56164955,Matthew,Davis,Male,Florida,Miami,2/7/2021,Operations,Operations Analyst,Master,70779,Good,Yes,8/8/1981,8/6/2021,Involuntary
00-71662963,Michael,Cooper,Female,New York,Buffalo,4/13/2019,IT,IT Support Specialist,Bachelor,62043,Good,No,6/7/1967,9/7/2021,Voluntary
00-84093639,Lindsay,Blair,Male,New York,Buffalo,7/28/2017,Operations,Logistics Coordinator,Bachelor,63392,Good,No,5/19/1989,8/5/2020,Involuntary
00-58537831,David,Nielsen,Female,New York,New York City,1/31/2021,Sales,Sales Representative,Bachelor,62435,Satisfactory,Yes,11/15/1977,12/25/2022,Voluntary
